968	97.33
605	130.89
590	239.69
132	72.82
759	2.36
128	235.90
605	65.78
128	230.25
871	36.34
637	121.48
525	197.90
700	43.50
525	195.26
525	45.24
605	209.91
759	241.04
590	220.34
525	41.91
530	167.76
759	92.89
128	91.04
204	154.64
968	59.98
132	223.16
204	198.99
637	49.27
700	61.48
132	230.62
871	79.46
968	104.39
590	131.12
204	251.80
530	172.12
605	163.08
530	242.81
525	138.46
637	126.26
605	105.41
871	213.80
590	6.83
204	97.82
871	102.59
605	215.17
700	168.70
759	238.20
605	252.92
132	249.95
590	253.56
204	109.12
605	127.60
700	126.58
637	51.32
590	215.54
968	145.60
700	180.15
605	181.17
759	80.42
513	86.72
525	163.57
128	130.20
525	38.59
204	240.55
605	57.78
590	89.22
204	200.01
968	109.98
605	99.20
759	254.01
605	77.33
605	141.65
759	209.39
204	18.87
759	197.94
871	249.90
132	33.65
700	42.05
637	220.04
637	186.37
128	156.66
637	54.34
132	37.39
759	46.16
637	234.25
637	52.28
530	239.35
128	212.08
700	163.98
590	17.38
700	171.77
700	164.36
700	86.04
525	234.74
700	35.60
968	12.38
590	138.28
128	174.25
525	136.33
525	96.81
637	247.29
530	30.83
513	51.00
871	98.60
128	84.14
530	59.67
513	63.70
530	48.78
871	157.46
204	122.82
204	131.61
128	188.49
530	39.25
204	213.00
871	161.54
204	167.52
700	148.42
590	156.96
700	51.75
637	171.93
204	188.91
513	32.52
700	163.11
513	246.89
530	109.57
132	57.80
132	46.13
530	28.85
590	250.01
968	179.97
530	68.55
590	212.81
605	35.25
637	44.43
530	224.63
590	104.17
605	205.64
132	27.62
871	6.55
525	170.66
759	130.04
525	63.62
132	137.69
204	30.61
530	125.91
759	166.03
637	255.87
128	236.09
871	197.70
871	74.54
513	24.04
637	204.21
968	144.37
132	17.31
871	245.18
968	142.18
759	249.14
700	57.89
132	199.48
128	12.00
700	46.55
525	80.35
132	63.43
132	48.82
637	80.82
204	167.01
590	67.36
530	46.49
700	112.88
525	30.19
132	81.34
590	215.53
871	193.31
525	98.17
128	234.85
513	64.58
204	91.44
700	173.14
132	136.68
204	45.09
759	101.01
759	213.48
605	119.36
968	15.48
128	33.49
759	253.46
590	92.55
605	82.10
128	255.13
590	156.18
637	182.76
700	245.14
637	155.40
530	121.72
128	14.15
530	19.55
637	212.72
700	78.45
637	129.55
590	67.14
204	253.97
968	31.88
759	31.20
204	157.71
525	19.97
513	203.42
525	134.43
968	28.15
204	159.82
590	72.34
525	6.42
871	204.86
513	88.99
132	9.40
513	251.88
530	62.30
759	59.46
590	227.89
128	132.11
759	39.57
590	118.33
637	81.88
513	217.45
605	46.78
132	131.23
513	25.88
700	219.67
513	148.00
605	198.92
968	190.25
530	103.22
525	205.23
590	164.02
637	167.33
968	181.20
637	197.07
871	125.00
132	226.66
637	133.75
530	151.90
132	192.64
605	137.60
759	66.93
871	180.50
700	137.59
204	45.40
530	193.25
525	148.85
530	225.69
128	186.09
525	150.12
759	3.98
968	63.96
525	219.56
871	9.19
637	88.36
605	18.51
132	208.77
637	126.28
605	235.76
871	112.47
132	142.39
605	55.44
605	101.98
128	136.48
132	109.88
530	223.27
128	169.82
700	186.46
